birdid,bird,latin,flags,sighting_time,bird_type,order,family,In Sibley,Remove,Family Rank
736,Lilian's Meadowlark,Sturnella lilianae,,,Perching Birds,PASSERIFORMES,ÊFringillidae,,,
737,Western Meadowlark,Sturnella neglecta,,,Perching Birds,PASSERIFORMES,ÊFringillidae,,,
738,Great-tailed Grackle,Quiscalus mexicanus,,,Perching Birds,PASSERIFORMES,ÊFringillidae,,,
739,Boat-tailed Grackle,Quiscalus major,Endemic,,Perching Birds,PASSERIFORMES,ÊFringillidae,,,
740,Common Grackle,Quiscalus quiscula,,,Perching Birds,PASSERIFORMES,ÊFringillidae,,,
741,Rusty Blackbird,Euphagus carolinus,,,Perching Birds,PASSERIFORMES,ÊFringillidae,,,
742,Brewer's Blackbird,Euphagus cyanocephalus,,,Perching Birds,PASSERIFORMES,ÊFringillidae,,,
743,Bronzed Cowbird,Molothrus aeneus,,,Perching Birds,PASSERIFORMES,ÊFringillidae,,,
744,Brown-headed Cowbird,Molothrus ater,,,Perching Birds,PASSERIFORMES,ÊFringillidae,,,
745,Bobolink,Dolichonyx oryzivorus,,,Perching Birds,PASSERIFORMES,ÊFringillidae,,,
x,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
